Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2020-11-09,501733,11380,432233.0,58120.0,1247.3937785522694,2.2681386315032097
2020-11-10,505310,11432,434665.0,59213.0,1256.2868103956635,2.2623735924482005
2020-11-11,508508,11482,436657.0,60369.0,1264.2375836232768,2.2579782422302106
2020-11-12,511806,11532,439228.0,61046.0,1272.4369738999087,2.2531975006154674
2020-11-13,514496,11580,441856.0,61060.0,1279.1247725185076,2.250746361487747
2020-11-14,516915,11623,444226.0,61066.0,1285.1388189342667,2.2485321571244787
2020-11-15,519152,11670,447039.0,60443.0,1290.7003823208115,2.247896569790736
2020-11-16,521542,11712,449565.0,60265.0,1296.6423297923552,2.245648480851015
2020-11-17,524503,11752,453025.0,59726.0,1304.0038806137948,2.240597289243341
2020-11-18,526852,11795,455176.0,59881.0,1309.843895095241,2.2387691419981324
2020-11-19,529226,11834,457490.0,59902.0,1315.7460638389412,2.2360957322580517
2020-11-20,531769,11883,460394.0,59492.0,1322.0683953954829,2.234616910726274
2020-11-21,533555,11925,463040.0,58590.0,1326.5086958909544,2.2350085745611983
2020-11-22,535321,11958,465452.0,57911.0,1330.8992729766221,2.2337999069717047
2020-11-23,537457,11996,467654.0,57807.0,1336.2097331436585,2.231992512889404
2020-11-24,539749,12031,469784.0,57934.0,1341.9080359071636,2.2289990347365163
2020-11-25,542187,12086,472054.0,58047.0,1347.969319562236,2.2291202112924138
2020-11-26,544670,12125,474376.0,58169.0,1354.1424808893667,2.2261185672058312
2020-11-27,547215,12167,476297.0,58751.0,1360.469784786889,2.223440512412854
2020-11-28,548821,12200,478537.0,58084.0,1364.462574594127,2.2229470082230818
2020-11-29,550435,12224,480903.0,57308.0,1368.4752537652867,2.2207890123266143
2020-11-30,552549,12258,482674.0,57617.0,1373.7310181815387,2.218445784898715
2020-12-01,554767,12306,484570.0,57891.0,1379.2453443287704,2.2182285536089927
2020-12-02,556728,12340,486313.0,58075.0,1384.1207246600245,2.21652225144056
2020-12-03,558767,12361,487863.0,58543.0,1389.1900262895126,2.2121922017585147
2020-12-04,560622,12387,489772.0,58463.0,1393.8018725488068,2.2095101512248894
2020-12-05,562520,12411,491657.0,58452.0,1398.520624139179,2.2063215530114486
2020-12-06,564200,12432,493567.0,58201.0,1402.6973905626908,2.203473945409429
2020-12-07,566015,12460,495725.0,57830.0,1407.2097900023775,2.201355087762692
2020-12-08,568138,12477,498064.0,57597.0,1412.4879299530414,2.19612136487966
2020-12-09,569873,12501,499846.0,57526.0,1416.8014357535135,2.1936466546055002
2020-12-10,571253,12526,501967.0,56760.0,1420.2323510299695,2.1927237143612377
2020-12-11,572600,12549,503897.0,56154.0,1423.5812226802493,2.1915822563744323
2020-12-12,573622,12565,505669.0,55388.0,1426.1220889212188,2.1904668928318647
2020-12-13,574634,12579,507446.0,54609.0,1428.638093457287,2.189045548992924
2020-12-14,575972,12603,509474.0,53895.0,1431.9645895731546,2.1881272006278083
2020-12-15,577363,12614,511639.0,53110.0,1435.4228527250034,2.1847607137970395
2020-12-16,578916,12636,513405.0,52875.0,1439.2838754962613,2.1827000808407435
2020-12-17,580449,12650,515321.0,52478.0,1443.0951748577158,2.179347367296696
2020-12-18,581811,12670,517091.0,52050.0,1446.4813390653485,2.177683130776145
2020-12-19,583118,12680,519005.0,51433.0,1449.730763896021,2.1745169931300348
2020-12-20,584145,12697,520969.0,50479.0,1452.2840609894415,2.1736041565022384
2020-12-21,585345,12710,522637.0,49998.0,1455.2674655776646,2.171369021688064
2020-12-22,586503,12725,524344.0,49434.0,1458.1464510052995,2.1696393709836097
2020-12-23,587676,12737,525792.0,49147.0,1461.0627289902868,2.1673507170617823
2020-12-24,588803,12744,527341.0,48718.0,1463.864643132726,2.164391146104894
2020-12-25,589943,12755,528872.0,48316.0,1466.6988774915376,2.1620732850461826
2020-12-26,590779,12767,530262.0,47750.0,1468.7773160213324,2.1610449931361813
2020-12-27,591597,12780,531803.0,47014.0,1470.8110034823044,2.1602543623446366
2020-12-28,592528,12791,533314.0,46423.0,1473.1256282086672,2.158716550103961
2020-12-29,593541,12800,534801.0,45940.0,1475.6441189152251,2.1565485787839425
2020-12-30,594442,12808,536348.0,45286.0,1477.8841585268826,2.1546256825728998
2020-12-31,595291,12813,537841.0,44637.0,1479.9949172730499,2.1523926953372383
2021-01-01,596193,12824,539817.0,43552.0,1482.2374430551972,2.1509813097436568
2021-01-02,597033,12829,541746.0,42458.0,1484.325826266953,2.148792445308718
2021-01-03,597774,12834,543720.0,41220.0,1486.1680786001807,2.146965241044274
2021-01-04,598369,12844,545529.0,39996.0,1487.647350041841,2.1465015734438118
2021-01-05,599126,12856,547457.0,38813.0,1489.5293811029114,2.1457923708869253
2021-01-06,599965,12865,549346.0,37754.0,1491.6152781441772,2.144291750352104
2021-01-07,600755,12869,551127.0,36759.0,1493.5793528314236,2.1421378099225143
2021-01-08,601424,12877,553025.0,35522.0,1495.2426008893576,2.1410851578919363
2021-01-09,602331,12881,554990.0,34460.0,1497.4975575239566,2.1385251630747883
2021-01-10,602938,12895,556742.0,33301.0,1499.0066630114984,2.1386941940962423
2021-01-11,603739,12906,558777.0,32056.0,1500.9980855741373,2.137678698907972
2021-01-12,604549,12911,560583.0,31055.0,1503.0118836711874,2.1356416105228857
2021-01-13,605416,12915,562575.0,29926.0,1505.1673934861785,2.133243918231431
2021-01-14,606186,12922,564359.0,28905.0,1507.0817447636216,2.1316889535555092
2021-01-15,606991,12932,565889.0,28170.0,1509.0831120082212,2.1305093485735367
2021-01-16,607587,12935,567898.0,26754.0,1510.5648696203714,2.128913225595676
2021-01-17,608232,12944,569429.0,25859.0,1512.168449586541,2.128135316787016
2021-01-18,609029,12953,571198.0,24878.0,1514.149927467219,2.126828114917352
2021-01-19,609852,12962,573011.0,23879.0,1516.1960457806415,2.1254337117858104
2021-01-20,610598,12968,574920.0,22710.0,1518.0507289663199,2.123819599802161
2021-01-21,611407,12977,576725.0,21705.0,1520.0620408928805,2.1224814239941643
2021-01-22,612092,12984,578292.0,20816.0,1521.7650676786575,2.121249746770093
2021-01-23,612870,12988,579838.0,20044.0,1523.6993083200214,2.119209620310996
2021-01-24,613763,12993,581542.0,19228.0,1525.9194585677576,2.1169409038993883
2021-01-25,614576,13000,583127.0,18449.0,1527.9407151762784,2.1152794772330843
2021-01-26,615380,13010,584752.0,17618.0,1529.9395962503875,2.1141408560564203
2021-01-27,616259,13018,586327.0,16914.0,1532.1249401112607,2.1124235102448807
2021-01-28,617202,13024,588260.0,15918.0,1534.4693988835056,2.110168145923053
2021-01-29,618147,13036,589540.0,15571.0,1536.818829996731,2.1088834856433825
2021-01-30,618922,13041,590857.0,15024.0,1538.7456121266248,2.107050646123421
2021-01-31,619636,13047,592129.0,14460.0,1540.5207378566172,2.1055910244078784
2021-02-01,620620,13057,593384.0,14179.0,1542.96712961896,2.1038638780574264
2021-02-02,621755,13068,594594.0,14093.0,1545.7889331253205,2.101792506694759
2021-02-03,623072,13079,595869.0,14124.0,1549.0632196608954,2.099115351034873
2021-02-04,624222,13091,596959.0,14172.0,1551.9223157246079,2.097170557910487
2021-02-05,625756,13103,598147.0,14506.0,1555.7361012565527,2.0939471615134333
2021-02-06,627416,13111,599167.0,15138.0,1559.8631442702606,2.0896821247784563
2021-02-07,628550,13120,600193.0,15237.0,1562.6824616061313,2.087343886723411
2021-02-08,630263,13126,601041.0,16096.0,1566.941271655819,2.0826226511789523
2021-02-09,632257,13134,602018.0,17105.0,1571.8986956132492,2.0773198240588875
2021-02-10,634539,13140,602820.0,18579.0,1577.5721366718524,2.070794702926061
2021-02-11,636908,13144,603814.0,19950.0,1583.4618745631021,2.0637203489357963
2021-02-12,639438,13157,604822.0,21459.0,1589.7518859032714,2.0575880695235504
2021-02-13,641628,13164,605980.0,22484.0,1595.196599276778,2.051656099796144
2021-02-14,643852,13179,607059.0,23614.0,1600.7258424469508,2.0468989767834844
2021-02-15,646650,13185,608178.0,25287.0,1607.68214747849,2.0389700765483645
2021-02-16,649982,13192,609800.0,26990.0,1615.966067551788,2.029594665698435
2021-02-17,653557,13204,611036.0,29317.0,1624.8541270542014,2.02032875479874
2021-02-18,657453,13220,612727.0,31506.0,1634.5402472839646,2.010790124921477
2021-02-19,661477,13232,614529.0,33716.0,1644.544597336471,2.000371895016758
2021-02-20,664750,13245,616507.0,34998.0,1652.6818333508484,1.9924783753290711
2021-02-21,667937,13272,618509.0,36156.0,1660.6052587030695,1.9870137453083148
2021-02-22,671801,13295,620745.0,37761.0,1670.2118214771467,1.979008664768287
2021-02-23,675982,13311,623337.0,39334.0,1680.6065002966125,1.9691352728327085
2021-02-24,680288,13324,625447.0,41517.0,1691.3119504273513,1.9585822475186982
2021-02-25,684362,13351,627718.0,43293.0,1701.4406090043674,1.950868107814285
2021-02-26,688698,13365,630178.0,45155.0,1712.220644249812,1.9406183842555085
2021-02-27,692241,13383,632998.0,45860.0,1721.0291462965397,1.9332862399077777
2021-02-28,695489,13406,635931.0,46152.0,1729.1042280486622,1.927564634379552
2021-03-01,699088,13428,639639.0,46021.0,1738.0519556428399,1.920788226947108
2021-03-02,703778,13458,643156.0,47164.0,1749.7120952418106,1.9122507381589082
2021-03-03,708951,13483,646619.0,48849.0,1762.57305518754,1.901823962445924
2021-03-04,713994,13507,650015.0,50472.0,1775.1108129695458,1.891752591758474
2021-03-05,719121,13537,653149.0,52435.0,1787.8574090727273,1.8824370307639464
2021-03-06,723189,13548,657032.0,52609.0,1797.9711506268025,1.8733692022417376
2021-03-07,726548,13572,660541.0,52435.0,1806.3221973033355,1.868011473433276
2021-03-08,731016,13596,664461.0,52959.0,1817.4304070534845,1.8598772119898883
2021-03-09,735626,13618,668153.0,53855.0,1828.8916530132396,1.8512124367545464
2021-03-10,740472,13645,671288.0,55539.0,1840.9396352086792,1.842743547358982
2021-03-11,745642,13671,674345.0,57626.0,1853.7931366429386,1.8334535876466187
2021-03-12,750264,13696,677742.0,58826.0,1865.2842166485761,1.8254907605856072
2021-03-13,754318,13719,681828.0,58771.0,1875.3631518157888,1.8187289710705563
2021-03-14,758184,13751,685770.0,58663.0,1884.9746869308456,1.8136758359448368
2021-03-15,763085,13788,690620.0,58677.0,1897.159408503245,1.806876036090344
2021-03-16,768352,13827,695184.0,59341.0,1910.2540684750525,1.7995658239973344
2021-03-17,774015,13860,698775.0,61380.0,1924.3332519609733,1.7906629716478364
2021-03-18,779458,13896,702667.0,62895.0,1937.865477939053,1.7827772631751806
2021-03-19,784716,13937,706904.0,63875.0,1950.9377623764487,1.776056560590073
2021-03-20,789390,13969,710699.0,64722.0,1962.558123247576,1.7695942436564942
2021-03-21,793892,14007,715073.0,64812.0,1973.7508627943914,1.764345780030533
2021-03-22,798547,14036,719161.0,65350.0,1985.3239864262048,1.7576924088375512
2021-03-23,803041,14066,723286.0,65689.0,1996.496836609099,1.7515917618153993
2021-03-24,809092,14095,727471.0,67526.0,2011.5406542452122,1.7420763028184678
2021-03-25,815605,14128,732252.0,69225.0,2027.7330826477905,1.7322110580489332
2021-03-26,822095,14157,736747.0,71191.0,2043.868329129095,1.722063751756184
2021-03-27,827157,14177,741115.0,71865.0,2056.453324150414,1.7139430603863597
2021-03-28,832428,14212,745935.0,72281.0,2069.557928804182,1.7072948050762349
2021-03-29,838265,14249,750435.0,73581.0,2084.069705955395,1.699820462502908
2021-03-30,844260,14286,755350.0,74624.0,2098.9742980440574,1.6921327553123446
2021-03-31,850924,14323,759560.0,77041.0,2115.542138190654,1.68322905453366
2021-04-01,856939,14360,764096.0,78483.0,2130.49645368912,1.675731878231706
2021-04-02,862821,14390,768215.0,80216.0,2145.120108512392,1.667785090998017
2021-04-03,868200,14430,773232.0,80538.0,2158.4932195791002,1.6620594333102972
2021-04-04,873568,14463,778535.0,80570.0,2171.838982770416,1.6556238323748125
2021-04-05,879991,14502,784199.0,81290.0,2187.8076558288776,1.6479713997074967
2021-04-06,887291,14535,789424.0,83332.0,2205.9567004072323,1.6381322474813786
2021-04-07,895622,14572,794444.0,86606.0,2226.668986760968,1.6270256871760633
2021-04-08,903439,14606,799327.0,89506.0,2246.103381482749,1.6167112555468603
2021-04-09,911376,14641,804772.0,91963.0,2265.8361166633513,1.6064719720510523
2021-04-10,918155,14678,809663.0,93814.0,2282.689866416319,1.598640752378411
2021-04-11,924946,14713,814853.0,95380.0,2299.573450215169,1.5906874563488032
2021-04-12,932899,14757,820532.0,97610.0,2319.345964123615,1.5818432649193537
2021-04-13,941078,14796,826323.0,99959.0,2339.680352562843,1.5722394955572228
2021-04-14,949050,14836,831519.0,102695.0,2359.500103710602,1.5632474579842999
2021-04-15,956860,14885,837336.0,104639.0,2378.9170952389513,1.555608971009343
2021-04-16,964435,14915,843851.0,105669.0,2397.749836702107,1.546501319425363
2021-04-17,970987,14948,849718.0,106321.0,2414.0392257538024,1.5394644830466317
2021-04-18,977175,14981,856532.0,105662.0,2429.4236487470707,1.5330928441681375
2021-04-19,984950,15026,864039.0,105885.0,2448.753624308264,1.5255596730798515
2021-04-20,993158,15060,870927.0,107171.0,2469.1601116917063,1.516375038010065
2021-04-21,1001854,15098,877309.0,109447.0,2490.77985027436,1.5070060108558732
2021-04-22,1010304,15128,884181.0,110995.0,2511.787990916428,1.497371088306094
2021-04-23,1018321,15174,891007.0,112140.0,2531.719619736245,1.4900998800967475
2021-04-24,1025288,15217,897966.0,112105.0,2549.0407695413683,1.4841683507463268
2021-04-25,1031322,15257,905301.0,110764.0,2564.0423222791487,1.4793633802052124
2021-04-26,1037858,15303,913211.0,109344.0,2580.291932603001,1.4744791676703364
2021-04-27,1045010,15348,920523.0,109139.0,2598.073023948808,1.4686940794824932
2021-04-28,1051868,15392,927575.0,108901.0,2615.123181170501,1.4633014788927887
2021-04-29,1058794,15433,934935.0,108426.0,2632.3423979855256,1.4576017620046962
2021-04-30,1065199,15465,942046.0,107688.0,2648.2663199751637,1.451841393016704
2021-05-01,1070366,15498,949341.0,105527.0,2661.112362897953,1.447915946508017
2021-05-02,1074930,15536,957200.0,102194.0,2672.4592450151604,1.4453034151061002
2021-05-03,1079998,15566,964551.0,99881.0,2685.0591570594197,1.4412989653684545
2021-05-04,1086141,15608,971793.0,98740.0,2700.3317023806303,1.4370141629862052
2021-05-05,1091954,15640,979041.0,97273.0,2714.7838114400797,1.4322947669956794
2021-05-06,1098187,15673,986134.0,96380.0,2730.280112105405,1.4271704181528282
2021-05-07,1103950,15702,992423.0,95825.0,2744.6079126403447,1.422347026586349
2021-05-08,1108558,15741,998626.0,94191.0,2756.0641862591197,1.4199527674690904
2021-05-09,1112725,15771,1005369.0,91585.0,2766.424058691723,1.4173313262486238
2021-05-10,1117627,15800,1011606.0,90221.0,2778.6112664346124,1.4137095828930404
2021-05-11,1122914,15834,1018167.0,88913.0,2791.755649816224,1.4100812706939267
2021-05-12,1127580,15855,1023584.0,88141.0,2803.356121323429,1.4061086574788486
2021-05-13,1132092,15883,1028627.0,87582.0,2814.5737225751463,1.4029778498567254
2021-05-14,1134859,15910,1034396.0,84553.0,2821.45295632149,1.40193627578404
2021-05-15,1136917,15930,1039616.0,81371.0,2826.569495190292,1.4011576922501818
2021-05-16,1139373,15954,1045240.0,78179.0,2832.6755299141882,1.4002438183105972
2021-05-17,1142925,15995,1050687.0,76243.0,2841.5064074953266,1.3994794059102742
2021-05-18,1146948,16029,1056885.0,74034.0,2851.508271377343,1.3975350233837978
2021-05-19,1151557,16069,1061975.0,73513.0,2862.967031166608,1.3954150771520646
2021-05-20,1156137,16102,1067387.0,72648.0,2874.3536920116576,1.3927415176575095
2021-05-21,1160494,16137,1072026.0,72331.0,2885.1859368373966,1.3905285163042636
2021-05-22,1164149,16158,1076804.0,71187.0,2894.2728899790254,1.3879666606250574
2021-05-23,1167940,16190,1081843.0,69907.0,2903.697962307319,1.3862013459595528
2021-05-24,1172042,16214,1086612.0,69216.0,2913.8962336580603,1.3833975232969469
2021-05-25,1176980,16241,1090891.0,69848.0,2926.172943538596,1.3798875087087292
2021-05-26,1181698,16267,1094140.0,71291.0,2937.9026959112907,1.3765784489776576
2021-05-27,1186309,16289,1098199.0,71821.0,2949.366428041537,1.3730823925301079
2021-05-28,1190351,16311,1101676.0,72364.0,2959.4155291628667,1.3702680973931218
